configuration,chunk_size,retrieval_method,reranker,candidate_pool,recall@5,recall@10,mrr,ndcg@10,delta_recall@10,chunk_overlap,embedding_model,reranker_model,dataset,dataset_version
baseline,300,dense,False,full,1.0,1.0,0.9737,0.9741,0.0,50,sentence-transformers/all-MiniLM-L6-v2,off,real_world,1.0.0
chunk_change,100,dense,False,full,1.0,1.0,0.8772,0.9108,0.0,20,sentence-transformers/all-MiniLM-L6-v2,off,real_world,1.0.0
hybrid,300,hybrid,False,full,1.0,1.0,0.9737,0.9764,0.0,50,sentence-transformers/all-MiniLM-L6-v2,off,real_world,1.0.0
reranker,300,dense,True,full,1.0,1.0,1.0,1.0,0.0,50,sentence-transformers/all-MiniLM-L6-v2,cross-encoder/ms-marco-MiniLM-L-6-v2,real_world,1.0.0
broken,40,dense,False,3,0.0526,0.0526,0.0526,0.0526,-0.9474,0,sentence-transformers/all-MiniLM-L6-v2,off,real_world,1.0.0
